job,item,tube_type,selected_machine,machines,calculated_setup_time,tool,setuptime_material,setuptime_coil,duration_machine,duration_manual,shift,latest_start,calculated_start,calculated_end,planned_start,planned_end,final_start,final_end,setup_time,status,jobStartDelay,jobEndDelay,start,end
92021530000,90APK004,APK,1531,1531,,A0 023,0 days 00:15:00,0 days 00:02:00,0 days 01:44:01.800000,0 days 01:29:01.800000,W01S3,2022-05-02 05:08:56,,,,,2021-10-25 07:54:00,2021-10-25 09:38:01,0 days 00:17:00,JobStatus.UNPLANNED,114840.0,0,2021-10-24 00:00:00,2022-05-02 08:54:00
92021529919,80PAK,PAK,1531,1531,,A0 023,0 days 00:15:00,0 days 00:02:00,0 days 02:04:29.400000,0 days 01:49:29.400000,W01S3,2022-05-02 04:28:01,,,,,2021-10-25 09:56:00,2021-10-25 12:00:29,0 days 00:17:00,JobStatus.UNPLANNED,122160.0,0,2021-10-24 00:00:00,2022-05-02 08:54:00
92021529395,70AA30000,AA,1531,1531,,A0 023,0 days 00:15:00,0 days 00:02:00,0 days 02:27:11.400000,0 days 02:12:11.400000,W01S3,2022-05-02 03:42:37,,,,,2021-10-25 12:18:00,2021-10-25 14:45:11,0 days 00:17:00,JobStatus.UNPLANNED,130680.0,0,2021-10-24 00:00:00,2022-05-02 08:54:00
92021366789,65APK,APK,1531,1531,,A0 047,0 days 00:15:00,0 days 00:02:00,0 days 00:31:13.200000,0 days 00:31:13.200000,W01S3,2022-05-03 13:49:33,,,,,2021-10-25 15:03:00,2021-10-25 15:34:13,0 days 00:17:00,JobStatus.UNPLANNED,140580.0,0,2021-10-24 00:00:00,2022-05-03 15:09:00
92021367007,75APK001,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 01:54:14.400000,0 days 01:54:14.400000,W01S3,2022-05-03 11:03:31,,,,,2021-10-25 15:52:00,2021-10-25 17:46:14,0 days 00:17:00,JobStatus.UNPLANNED,143520.0,0,2021-10-24 00:00:00,2022-05-03 15:09:00
92021378020,90AA401,AA,1531,1531,,A0 001,0 days 00:15:00,0 days 00:02:00,0 days 00:26:48,0 days 00:14:48,W01S3,2022-05-03 13:58:24,,,,,2021-10-25 18:04:00,2021-10-25 18:30:48,0 days 00:17:00,JobStatus.UNPLANNED,151440.0,0,2021-10-24 00:00:00,2022-05-03 15:09:00
92021640739,55PAP0450,PAP,1543,"1531,1532,1533,1535,1536,1537,1543",,A0 012,0 days 00:15:00,0 days 00:02:00,0 days 00:53:19.200000,0 days 00:47:30,W01S3,2022-05-05 06:50:21,,,,,2021-10-24 07:04:30,2021-10-25 06:53:49,0 days 00:17:00,JobStatus.UNPLANNED,25470.0,0,2021-10-24 00:00:00,2022-05-05 08:54:00
92021539118,55PAP3985,PAP,1543,"1531,1532,1533,1535,1536,1537,1543",,A0 023,0 days 00:15:00,0 days 00:02:00,0 days 09:30:56.400000,0 days 01:43:19.200000,W01S3,2022-05-04 13:35:07,,,,,2021-10-25 08:54:19,2021-10-25 18:25:15,0 days 00:17:00,JobStatus.UNPLANNED,118459.0,0,2021-10-24 00:00:00,2022-05-05 08:54:00
92021539115,55PAP1140,PAP,1532,"1531,1532,1533,1535,1536,1537,1543",,A0 023,0 days 00:15:00,0 days 00:02:00,0 days 01:15:14.400000,0 days 00:32:06,W01S3,2022-05-05 06:06:31,,,,,2021-10-25 09:19:00,2021-10-25 10:34:14,0 days 00:17:00,JobStatus.UNPLANNED,119940.0,0,2021-10-24 00:00:00,2022-05-05 08:54:00
92021631408,70PAK,PAK,1531,1531,,A0 044,0 days 00:15:00,0 days 00:02:00,0 days 04:33:27.600000,0 days 04:18:27.600000,W01S3,2022-05-05 11:25:04,,,,,2021-10-25 23:06:27,2021-10-26 10:33:55,0 days 00:17:00,JobStatus.UNPLANNED,169587.0,0,2021-10-24 00:00:00,2022-05-05 20:49:00
92021641262,80APK0890,APK,1531,1531,,A0 016,0 days 00:15:00,0 days 00:02:00,0 days 00:17:58.800000,0 days 00:15:57,W01S3,2022-05-05 19:56:02,,,,,2021-10-26 10:51:00,2021-10-26 11:08:58,0 days 00:17:00,JobStatus.UNPLANNED,211860.0,0,2021-10-24 00:00:00,2022-05-05 20:49:00
92021641264,80APK1360,APK,1531,1531,,A0 016,0 days 00:15:00,0 days 00:02:00,0 days 00:19:33,0 days 00:16:24.600000,W01S3,2022-05-05 19:52:54,,,,,2021-10-26 11:26:00,2021-10-26 11:45:33,0 days 00:17:00,JobStatus.UNPLANNED,213960.0,0,2021-10-24 00:00:00,2022-05-05 20:49:00
92021640738,55PAP0060,PAP,1532,"1531,1532,1533,1535,1536,1537,1543",,A0 012,0 days 00:15:00,0 days 00:02:00,0 days 00:19:54,0 days 00:18:50.400000,W01S3,2022-05-05 19:52:12,,,,,2021-10-25 10:52:00,2021-10-25 11:11:54,0 days 00:17:00,JobStatus.UNPLANNED,125520.0,0,2021-10-24 00:00:00,2022-05-05 20:49:00
92021640740,55PAP0540,PAP,1532,"1531,1532,1533,1535,1536,1537,1543",,A0 012,0 days 00:15:00,0 days 00:02:00,0 days 00:42:35.400000,0 days 00:37:30,W01S3,2022-05-05 19:06:49,,,,,2021-10-25 11:29:00,2021-10-25 12:11:35,0 days 00:17:00,JobStatus.UNPLANNED,127740.0,0,2021-10-24 00:00:00,2022-05-05 20:49:00
92021641106,75APK1000,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 00:55:46.200000,0 days 00:27:00,W01S3,2022-05-05 18:40:27,,,,,2021-10-26 12:03:00,2021-10-26 12:58:46,0 days 00:17:00,JobStatus.UNPLANNED,216180.0,0,2021-10-24 00:00:00,2022-05-05 20:49:00
92021640616,50AA61200,AA,1532,"1531,1532,1533,1535,1536,1537",,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 00:16:00,0 days 00:15:21,W01S3,2022-05-05 20:00:00,,,,,2021-10-25 12:29:00,2021-10-25 12:45:00,0 days 00:17:00,JobStatus.UNPLANNED,131340.0,0,2021-10-24 00:00:00,2022-05-05 20:49:00
92021641265,80APK1401,APK,1531,1531,,A0 016,0 days 00:15:00,0 days 00:02:00,0 days 00:19:40.800000,0 days 00:16:25.800000,W01S3,2022-05-05 19:52:38,,,,,2021-10-26 13:16:00,2021-10-26 13:35:40,0 days 00:17:00,JobStatus.UNPLANNED,220560.0,0,2021-10-24 00:00:00,2022-05-05 20:49:00
92021640762,60APK0420,APK,1532,"1531,1532,1533",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 00:15:39.600000,0 days 00:15:17.400000,W01S3,2022-05-05 20:00:40,,,,,2021-10-25 13:02:00,2021-10-25 13:17:39,0 days 00:17:00,JobStatus.UNPLANNED,133320.0,0,2021-10-24 00:00:00,2022-05-05 20:49:00
92021641114,75APK1100,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 00:36:19.200000,0 days 00:21:36,W01S3,2022-05-06 01:39:21,,,,,2021-10-26 13:53:00,2021-10-26 14:29:19,0 days 00:17:00,JobStatus.UNPLANNED,222780.0,0,2021-10-24 00:00:00,2022-05-06 03:09:00
92021631991,90PAPK002,PAPK,1531,1531,,A0 001,0 days 00:15:00,0 days 00:02:00,0 days 00:49:46.800000,0 days 00:34:46.800000,W01S3,2022-05-06 01:12:26,,,,,2021-10-26 14:47:00,2021-10-26 15:36:46,0 days 00:17:00,JobStatus.UNPLANNED,226020.0,0,2021-10-24 00:00:00,2022-05-06 03:09:00
92021641115,75APK1201,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 00:38:15.600000,0 days 00:14:09.600000,W01S3,2022-05-06 01:35:28,,,,,2021-10-26 15:54:00,2021-10-26 16:32:15,0 days 00:17:00,JobStatus.UNPLANNED,230040.0,0,2021-10-24 00:00:00,2022-05-06 03:09:00
92021529585,75APK,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 03:26:33,0 days 03:11:33,W01S3,2022-05-06 01:58:54,,,,,2021-10-26 16:50:00,2021-10-26 20:16:33,0 days 00:17:00,JobStatus.UNPLANNED,233400.0,0,2021-10-24 00:00:00,2022-05-06 09:09:00
92021631418,70PAK001,PAK,1531,1531,,A0 044,0 days 00:15:00,0 days 00:02:00,0 days 01:19:52.200000,0 days 01:04:52.200000,W01S3,2022-05-06 06:12:15,,,,,2021-10-26 21:38:52,2021-10-27 06:58:44,0 days 00:17:00,JobStatus.UNPLANNED,250732.0,0,2021-10-24 00:00:00,2022-05-06 09:09:00
92021640902,63AA0420,AA,1531,1531,,A0 038,0 days 00:15:00,0 days 00:02:00,0 days 00:15:12,0 days 00:15:10.800000,W01S3,2022-05-06 08:21:36,,,,,2021-10-27 07:31:10,2021-10-27 07:46:22,0 days 00:17:00,JobStatus.UNPLANNED,286270.0,0,2021-10-24 00:00:00,2022-05-06 09:09:00
92021730284,50AA6,AA,1532,"1531,1532,1533,1535,1536,1537",,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 05:06:34.800000,0 days 04:51:34.800000,W01S3,2022-05-05 22:38:50,,,,,2021-10-25 13:35:00,2021-10-25 18:41:34,0 days 00:17:00,JobStatus.UNPLANNED,135300.0,0,2021-10-24 00:00:00,2022-05-06 09:09:00
92021367570,90APK004,APK,1531,1531,,A0 001,0 days 00:15:00,0 days 00:02:00,0 days 01:40:45,0 days 01:40:45,W01S3,2022-05-07 05:15:30,,,,,2021-10-27 09:44:45,2021-10-27 11:25:30,0 days 00:17:00,JobStatus.UNPLANNED,294285.0,0,2021-10-24 00:00:00,2022-05-07 08:54:00
92021730764,60PAK,PAK,1532,"1531,1532,1533",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 02:01:16.800000,0 days 00:10:00,W01S3,2022-05-10 04:34:26,,,,,2021-10-25 19:09:00,2021-10-25 21:10:16,0 days 00:17:00,JobStatus.UNPLANNED,155340.0,0,2021-10-24 00:00:00,2022-05-10 08:54:00
92021730789,60PAPK003,PAK,1532,"1531,1532,1533",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 02:06:56.400000,0 days 01:51:56.400000,W01S3,2022-05-10 04:23:07,,,,,2021-10-25 23:19:56,2021-10-26 08:07:52,0 days 00:17:00,JobStatus.UNPLANNED,170396.0,0,2021-10-24 00:00:00,2022-05-10 08:54:00
92021730626,60APK009,APK,1532,"1531,1532,1533",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 04:03:12.600000,0 days 00:15:00,W01S3,2022-05-10 00:30:34,,,,,2021-10-26 08:40:00,2021-10-26 12:43:12,0 days 00:17:00,JobStatus.UNPLANNED,204000.0,0,2021-10-24 00:00:00,2022-05-10 08:54:00
92021529110,60APK009,APK,1532,"1531,1532,1533",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 05:00:36.600000,0 days 04:45:36.600000,W01S3,2022-05-09 22:35:46,,,,,2021-10-26 17:46:36,2021-10-27 06:47:13,0 days 00:17:00,JobStatus.UNPLANNED,236796.0,0,2021-10-24 00:00:00,2022-05-10 08:54:00
92021529592,75APK001,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 00:34:23.400000,0 days 00:19:23.400000,W01S3,2022-05-10 07:28:13,,,,,2021-10-27 11:43:00,2021-10-27 12:17:23,0 days 00:17:00,JobStatus.UNPLANNED,301380.0,0,2021-10-24 00:00:00,2022-05-10 08:54:00
92021740823,55AA0470,AA,1536,"1531,1532,1533,1535,1536,1537",,A0 012,0 days 00:15:00,0 days 00:02:00,0 days 00:16:25.800000,0 days 00:15:32.400000,W01S3,2022-05-12 19:59:08,,,,,2021-10-25 14:16:00,2021-10-25 14:32:25,0 days 00:17:00,JobStatus.UNPLANNED,137760.0,0,2021-10-24 00:00:00,2022-05-12 20:49:00
92021740878,60APPBEIGE1701,APPBEIGE,1533,"1531,1532,1533",,,0 days 00:15:00,0 days 00:02:00,0 days 05:06:34.800000,0 days 00:56:00,W01S3,2022-05-12 10:18:50,,,,,2021-10-26 15:17:00,2021-10-26 20:23:34,0 days 00:17:00,JobStatus.UNPLANNED,227820.0,0,2021-10-24 00:00:00,2022-05-12 20:49:00
92021157444,16AGA004,AGA,1536,"1536,1537",,A0 077,0 days 00:15:00,0 days 00:02:00,5 days 20:40:12,0 days 17:04:48,W01S3,2022-05-01 03:11:36,,,,,2021-10-25 14:50:00,2021-11-05 11:31:00,0 days 00:17:00,JobStatus.UNPLANNED,139800.0,0,2021-10-24 00:00:00,2022-05-12 20:49:00
92021741249,75APK1501,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 02:36:09.600000,0 days 00:46:30,W01S3,2022-05-12 15:19:40,,,,,2021-10-27 12:35:00,2021-10-27 15:11:09,0 days 00:17:00,JobStatus.UNPLANNED,304500.0,0,2021-10-24 00:00:00,2022-05-12 20:49:00
92021730275,50AA1500,AA,1535,"1531,1532,1533,1535,1536,1537",,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 03:10:54,0 days 01:06:06,W01S3,2022-05-12 14:10:12,,,,,2021-10-25 17:52:00,2021-10-25 21:02:54,0 days 00:17:00,JobStatus.UNPLANNED,150720.0,0,2021-10-24 00:00:00,2022-05-12 20:49:00
92021730203,40APK1750,APK,1535,"1532,1533,1534,1535,1536,1537",,A0 006,0 days 00:15:00,0 days 00:02:00,0 days 00:52:01.200000,0 days 00:23:24,W01S3,2022-05-12 18:47:57,,,,,2021-10-25 21:20:00,2021-10-26 06:12:01,0 days 00:17:00,JobStatus.UNPLANNED,163200.0,0,2021-10-24 00:00:00,2022-05-12 20:49:00
92021157442,16AGA003,AGA,1537,"1536,1537",,A0 077,0 days 00:15:00,0 days 00:02:00,6 days 05:05:11.400000,0 days 17:55:00,W01S3,2022-04-30 10:21:37,,,,,2021-10-26 19:30:00,2021-11-09 08:36:00,0 days 00:17:00,JobStatus.UNPLANNED,243000.0,0,2021-10-24 00:00:00,2022-05-12 20:49:00
92021730590,55APK10000,APK,1535,"1531,1532,1533,1535,1536,1537",,A0 012,0 days 00:15:00,0 days 00:02:00,0 days 00:40:47.400000,0 days 00:25:47.400000,W01S3,2022-05-12 19:10:25,,,,,2021-10-26 06:30:00,2021-10-26 07:10:47,0 days 00:17:00,JobStatus.UNPLANNED,196200.0,0,2021-10-24 00:00:00,2022-05-12 20:49:00
92021740714,50AA61001,AA,1535,"1531,1532,1533,1535,1536,1537",,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 00:31:43.800000,0 days 00:21:00,W01S3,2022-05-13 01:48:32,,,,,2021-10-26 07:28:00,2021-10-26 07:59:43,0 days 00:17:00,JobStatus.UNPLANNED,199680.0,0,2021-10-24 00:00:00,2022-05-13 03:09:00
92021271412,60APL60B,APL,1543,1543,,A0 008,0 days 00:15:00,0 days 00:02:00,0 days 06:08:28.200000,0 days 06:08:28.200000,W01S3,2022-05-12 20:35:03,,,,,2021-10-25 18:43:00,2021-10-26 08:51:28,0 days 00:17:00,JobStatus.UNPLANNED,153780.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021271415,60APL60B006,APL,1543,1543,,A0 008,0 days 00:15:00,0 days 00:02:00,0 days 08:26:10.800000,0 days 08:26:10.800000,W01S3,2022-05-12 15:59:38,,,,,2021-10-26 17:35:10,2021-10-27 10:01:21,0 days 00:17:00,JobStatus.UNPLANNED,236110.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021741254,75APK4200,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 00:36:01.800000,0 days 00:12:01.800000,W01S3,2022-05-13 07:39:56,,,,,2021-10-27 15:29:00,2021-10-27 16:05:01,0 days 00:17:00,JobStatus.UNPLANNED,314940.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021951187,20AGA0476,AGA,1535,"1534,1535,1536,1537",,A0 024,0 days 00:15:00,0 days 00:02:00,1 days 07:51:19.200000,0 days 05:00:00,W01S3,2022-05-10 17:09:21,,,,,2021-10-26 08:17:00,2021-10-28 08:09:00,0 days 00:17:00,JobStatus.UNPLANNED,202620.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021740867,60APK,APK,1533,"1531,1532,1533",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 05:57:43.800000,0 days 05:42:43.800000,W01S3,2022-05-12 20:56:32,,,,,2021-10-27 02:23:43,2021-10-27 11:58:27,0 days 00:17:00,JobStatus.UNPLANNED,267823.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
12021035294,60APL95B,APL,1543,1543,,A0 008,0 days 00:15:00,0 days 00:02:00,0 days 08:53:41.400000,0 days 08:53:41.400000,W01S3,2022-05-12 15:04:37,,,,,2021-10-27 19:12:41,2021-10-28 12:06:22,0 days 00:17:00,JobStatus.UNPLANNED,328361.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021271441,60APL90B301,APL,1543,1543,,A0 008,0 days 00:15:00,0 days 00:02:00,0 days 08:04:07.200000,0 days 08:04:07.200000,W01S3,2022-05-12 16:43:45,,,,,2021-10-28 12:24:00,2021-10-28 20:28:07,0 days 00:17:00,JobStatus.UNPLANNED,390240.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021730629,60APK013,APK,1532,"1531,1532,1533",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 01:02:51,0 days 00:47:51,W01S3,2022-05-13 06:46:18,,,,,2021-10-27 07:52:51,2021-10-27 08:55:42,0 days 00:17:00,JobStatus.UNPLANNED,287571.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021740705,50AA1001,AA,1532,"1531,1532,1533,1535,1536,1537",,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 00:16:28.800000,0 days 00:15:30,W01S3,2022-05-13 08:19:02,,,,,2021-10-27 09:28:30,2021-10-27 09:44:58,0 days 00:17:00,JobStatus.UNPLANNED,293310.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021271444,60APL95B,APL,1543,1543,,A0 008,0 days 00:15:00,0 days 00:02:00,0 days 08:53:41.400000,0 days 08:53:41.400000,W01S3,2022-05-12 15:04:37,,,,,2021-10-28 20:46:00,2021-10-29 13:39:41,0 days 00:17:00,JobStatus.UNPLANNED,420360.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021731633,90PAPK003,PAPK,1531,1531,,A0 001,0 days 00:15:00,0 days 00:02:00,0 days 02:50:00.600000,0 days 02:35:00.600000,W01S3,2022-05-13 03:11:58,,,,,2021-10-27 16:23:00,2021-10-27 19:13:00,0 days 00:17:00,JobStatus.UNPLANNED,318180.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021741234,75APK1000,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 00:34:23.400000,0 days 00:16:00,W01S3,2022-05-13 07:43:13,,,,,2021-10-27 19:47:00,2021-10-27 20:21:23,0 days 00:17:00,JobStatus.UNPLANNED,330420.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021726546,20AGA0476,AGA,1534,"1534,1535,1536,1537",,A0 024,0 days 00:15:00,0 days 00:02:00,1 days 03:49:49.800000,0 days 13:04:30,W01S3,2022-05-11 01:12:20,,,,,2021-10-28 08:42:30,2021-10-29 20:32:30,0 days 00:17:00,JobStatus.UNPLANNED,376950.0,0,2021-10-24 00:00:00,2022-05-13 09:09:00
92021734176,130AA0700,AA,1531,1531,,A0 045,0 days 00:15:00,0 days 00:02:00,0 days 00:16:48.600000,0 days 00:16:23.400000,W01S3,2022-05-16 08:03:22,,,,,2021-10-27 20:55:23,2021-10-27 21:12:12,0 days 00:17:00,JobStatus.UNPLANNED,334523.0,0,2021-10-24 00:00:00,2022-05-16 08:54:00
