job,item,tube_type,selected_machine,machines,calculated_setup_time,tool,setuptime_material,setuptime_coil,duration_machine,duration_manual,shift,latest_start,calculated_start,calculated_end,planned_start,planned_end,final_start,final_end,setup_time,status,jobStartDelay,jobEndDelay,start,end
92021281375,45PAP2950,PAP,1541,"1532,1533,1535,1536,1537,1541,1542",,A0 049,0 days 00:15:00,0 days 00:02:00,0 days 05:18:31.800000,0 days 01:12:06,W01S3,2022-05-23 21:59:56,,,,,2022-02-28 19:05:25,2022-03-01 08:23:56,0 days 00:17:00,JobStatus.UNPLANNED,3092725.0,0,2022-01-24 00:00:00,2022-05-24 08:54:00
92021740878,60APPBEIGE1701,APPBEIGE,1531,"1531,1532,1533",,,0 days 00:15:00,0 days 00:02:00,0 days 05:06:34.800000,0 days 00:56:00,W01S3,2022-05-12 10:18:50,,,,,2022-03-02 16:36:19,2022-03-02 21:42:53,0 days 00:17:00,JobStatus.UNPLANNED,12674179.0,0,2021-10-07 00:00:00,2022-05-12 20:49:00
92021730284,50AA6,AA,1531,"1531,1532,1533,1535,1536,1537",,A0 005,0 days 00:15:00,0 days 00:02:00,0 days 05:06:34.800000,0 days 04:51:34.800000,W01S3,2022-05-05 22:38:50,,,,,2022-03-03 06:00:00,2022-03-03 07:58:28,0 days 00:17:00,JobStatus.UNPLANNED,12808800.0,0,2021-10-06 00:00:00,2022-05-06 09:09:00
92021367016,75APK10000,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 05:05:19.200000,0 days 05:05:19.200000,W01S3,2022-06-02 16:41:21,,,,,2022-03-03 13:21:38,2022-03-03 18:26:57,0 days 00:17:00,JobStatus.UNPLANNED,2035298.0,0,2022-02-08 00:00:00,2022-06-03 03:09:00
92021529110,60APK009,APK,1532,"1531,1532,1533",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 05:00:36.600000,0 days 04:45:36.600000,W01S3,2022-05-09 22:35:46,,,,,2022-03-03 18:34:55,2022-03-04 07:35:32,0 days 00:17:00,JobStatus.UNPLANNED,14063695.0,0,2021-09-22 00:00:00,2022-05-10 08:54:00
92021631408,70PAK,PAK,1531,1531,,A0 044,0 days 00:15:00,0 days 00:02:00,0 days 04:33:27.600000,0 days 04:18:27.600000,W01S3,2022-05-05 11:25:04,,,,,2022-03-03 18:44:19,2022-03-04 07:17:46,0 days 00:17:00,JobStatus.UNPLANNED,14755459.0,0,2021-09-14 00:00:00,2022-05-05 20:49:00
92021271100,50PAP015,PAP,1541,"1531,1532,1533,1535,1536,1537,1541",,A0 011,0 days 00:15:00,0 days 00:02:00,0 days 04:14:26.400000,0 days 00:10:00,W01S3,2022-05-24 12:03:07,,,,,2022-03-01 08:51:19,2022-03-01 13:05:45,0 days 00:17:00,JobStatus.UNPLANNED,3055879.0,0,2022-01-25 00:00:00,2022-05-24 20:49:00
92021730626,60APK009,APK,1533,"1531,1532,1533",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 04:03:12.600000,0 days 00:15:00,W01S3,2022-05-10 00:30:34,,,,,2022-03-03 15:28:19,2022-03-03 19:31:31,0 days 00:17:00,JobStatus.UNPLANNED,13793299.0,0,2021-09-25 00:00:00,2022-05-10 08:54:00
92021965962,60PAP2060,PAP,1533,"1531,1532,1533,1543",,A0 035,0 days 00:15:00,0 days 00:02:00,0 days 03:43:57.600000,0 days 01:08:54,W01S3,2022-05-19 13:04:04,,,,,2022-03-03 20:58:13,2022-03-04 08:42:10,0 days 00:17:00,JobStatus.UNPLANNED,11221093.0,0,2021-10-25 00:00:00,2022-05-19 20:49:00
92021955812,70PAK,PAK,1531,1531,,A0 044,0 days 00:15:00,0 days 00:02:00,0 days 03:27:21,0 days 03:27:21,W01S3,2022-05-20 01:57:18,,,,,2022-03-04 11:02:40,2022-03-04 14:30:01,0 days 00:17:00,JobStatus.UNPLANNED,10839760.0,0,2021-10-30 00:00:00,2022-05-20 09:09:00
92021731105,75APK,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 03:26:33,0 days 03:11:33,W01S3,2022-05-16 01:43:54,,,,,2022-03-04 17:58:52,2022-03-04 21:25:25,0 days 00:17:00,JobStatus.UNPLANNED,13370332.0,0,2021-10-01 00:00:00,2022-05-16 08:54:00
92021529585,75APK,APK,1531,1531,,A0 028,0 days 00:15:00,0 days 00:02:00,0 days 03:26:33,0 days 03:11:33,W01S3,2022-05-06 01:58:54,,,,,2022-03-04 21:43:19,2022-03-07 09:09:52,0 days 00:17:00,JobStatus.UNPLANNED,14334199.0,0,2021-09-20 00:00:00,2022-05-06 09:09:00
92021955709,70AA30000,AA,1531,1531,,A0 044,0 days 00:15:00,0 days 00:02:00,0 days 03:23:16.200000,0 days 03:23:16.200000,W01S3,2022-05-17 01:50:27,,,,,2022-03-07 09:27:19,2022-03-07 12:50:35,0 days 00:17:00,JobStatus.UNPLANNED,11870839.0,0,2021-10-21 00:00:00,2022-05-17 08:54:00
92021730922,70AA30000,AA,1531,1531,,A0 044,0 days 00:15:00,0 days 00:02:00,0 days 03:23:16.200000,0 days 03:08:16.200000,W01S3,2022-05-17 01:50:27,,,,,2022-03-07 13:08:19,2022-03-07 16:31:35,0 days 00:17:00,JobStatus.UNPLANNED,13439299.0,0,2021-10-03 00:00:00,2022-05-17 08:54:00
